LABEL,muX7,muX8,muX9,muX10,muX11,a67,a68,a69,a610,a611,a76,a77,a78,a79,a710,a711,a86,a87,a88,a89,a810,a811,a96,a97,a98,a99,a910,a911,a106,a107,a108,a109,a1010,a1011,a116,a117,a118,a119,a1110,a1111
seed1056_v2_300its_run3,1.48E-04,5.70E-07,1.17E-04,2.67E-03,7.21E-08,1.02789715,3.328878349,1.453442238,-2.253799251,-2.056193037,3.328878349,-1.498082261,3.328878349,-1.001278814,-1.455590793,-0.927327892,-1.684489709,1.306003995,1.243507523,0.378431148,-4.24219612,-0.737256646,-0.918330978,3.328878349,6.81E-02,-0.647897978,3.328878349,1.25E-02,1.362076952,3.328878349,2.017361028,0.252808131,-1.902423,-0.121562607,3.328878349,-1.252197986,-0.973707459,0.390019944,-0.347251239,-1.125937786
seed1189_v2_300its_run1,2.67E-03,6.72E-04,1.70E-03,7.21E-08,1.11E-05,0.113072179,3.328878349,1.354467797,0.929249659,-4.391079148,-1.384252318,-0.536368545,2.055928591,-0.117427422,-0.921467667,-1.008814743,-2.087665907,-2.479421941,-4.391079148,0.816343469,1.395401972,-4.391079148,-1.474389051,3.328878349,-0.181176228,-1.315501896,1.573813151,0.556175387,0.741727076,-1.143487571,3.319478617,1.97E-02,-0.74013203,0.661896626,3.328878349,3.328878349,0.166094719,-0.623294808,-1.089488808,-0.319935268
seed1189_v2_300its_run2,3.77E-06,7.21E-08,2.80E-04,1.86E-04,2.53E-04,0.582805053,-0.486819583,1.154326824,-0.64940573,-0.666277638,-1.59E-02,-1.135413346,-5.11E-02,-1.210510256,3.19E-02,-8.20E-02,-1.711855105,1.727648869,-1.095746922,-1.61834781,1.232584576,-1.142121429,-0.838952986,0.134198093,0.444492828,-0.809716128,0.545693807,4.45E-02,0.25475168,0.31571133,0.249143849,-3.94E-02,-0.191341863,-3.56E-03,1.217123386,2.023708973,1.468906632,0.448974458,0.200286729,-0.625983877
seed1189_v2_300its_run3,7.21E-08,1.06E-04,3.86E-04,3.77E-04,2.39E-04,0.532758858,-4.391079148,1.146702801,-0.283260073,2.298515869,-3.53E-02,-1.310362595,0.690445333,-1.743725996,-4.391079148,3.328878349,3.328878349,0.498539622,-1.7634811,-0.474580085,0.251757533,0.116228978,-2.027783885,-0.7559815,3.328878349,-1.174589529,2.870138068,-0.1053648,-0.425986537,0.356012561,0.153209909,7.31E-02,-0.274554037,3.328878349,-2.577913288,1.507197768,3.328878349,-0.934727391,0.612911373,-0.178220784
seed1278_v2_300its_run1,1.75E-04,7.21E-08,1.62E-03,7.21E-08,6.01E-04,-2.733300608,-0.17930373,1.30854833,-4.391079148,-4.391079148,1.023351878,-2.588243226,-1.788686718,-0.943814921,3.328878349,0.647355219,0.692541206,-1.464718107,-2.290890203,-3.432144233,3.328878349,0.871160686,-4.391079148,3.328878349,2.035895257,-0.707366313,-1.150684178,-4.391079148,-0.545820941,-1.209874093,-3.092487869,-4.391079148,-1.411829754,0.390200175,-1.934793596,-0.333724296,-4.123334219,-4.391079148,-1.524774072,-4.391079148
seed1278_v2_300its_run2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed1278_v2_300its_run3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min_mu,max_mu,max_a,min_a,,,^,^,^,^,^,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.21E-08,2.67E-03,3.328878349,-4.391079148,,,These columns accidentally got the mu bounds for 678 and 799 but it seems to have still worked ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
